query_text	PMid	title	source	time_article_has_been_cited	pubdate
glioma AND expression AND NF1[Gene]	30946477	The landscape of the mesenchymal signature in brain tumours.	Brain	2	2019 Apr 1
glioma AND expression AND NF1[Gene]	29787563	Graph complexity analysis identifies an ETV5 tumor-specific network in human and murine low-grade glioma.	PLoS One	2	2018
glioma AND expression AND NF1[Gene]	29632086	Athymic mice reveal a requirement for T-cell-microglia interactions in establishing a microenvironment supportive of &lt;i&gt;Nf1&lt;/i&gt; low-grade glioma growth.	Genes Dev	2	2018 Apr 1
glioma AND expression AND NF1[Gene]	28950062	Integrating Transcriptomic Data with Mechanistic Systems Pharmacology Models for Virtual Drug Combination Trials.	ACS Chem Neurosci	2	2018 Jan 17
glioma AND expression AND NF1[Gene]	29564591	Anaplastic astrocytoma with piloid features, a novel molecular class of IDH wildtype glioma with recurrent MAPK pathway, CDKN2A/B and ATRX alterations.	Acta Neuropathol	17	2018 Aug
glioma AND expression AND NF1[Gene]	30504225	Effects of nuclear factor I phosphorylation on calpastatin (&lt;i&gt;CAST&lt;/i&gt;) gene variant expression and subcellular distribution in malignant glioma cells.	J Biol Chem	1	2019 Jan 25
glioma AND expression AND NF1[Gene]	29643433	Neurofibromin knockdown in glioma cell lines is associated with changes in cytokine and chemokine secretion in vitro.	Sci Rep	1	2018 Apr 11
glioma AND expression AND NF1[Gene]	29599344	Racial Disparities in the Molecular Landscape of Cancer.	Anticancer Res	1	2018 Apr
glioma AND expression AND NF1[Gene]	31346129	Molecular Profiling Reclassifies Adult Astroblastoma into Known and Clinically Distinct Tumor Entities with Frequent Mitogen-Activated Protein Kinase Pathway Alterations.	Oncologist		2019 Jul 25
glioma AND expression AND NF1[Gene]	31290679	Comparative proteogenomic characterization of glioblastoma.	CNS Oncol		2019 Jun
glioma AND expression AND NF1[Gene]	31111915	Genetic and genomic alterations differentially dictate low-grade glioma growth through cancer stem cell-specific chemokine recruitment of T cells and microglia.	Neuro Oncol		2019 May 3
glioma AND expression AND NF1[Gene]	30967630	Pathogenic mutations in neurofibromin identifies a leucine-rich domain regulating glioma cell invasiveness.	Oncogene		2019 Jul
glioma AND expression AND NF1[Gene]	30570705	MicroRNA profile of pediatric pilocytic astrocytomas identifies two tumor-specific signatures when compared to non-neoplastic white matter.	J Neurooncol		2019 Jan
glioma AND expression AND NF1[Gene]	30222900	Granular cell astrocytoma: an aggressive IDH-wildtype diffuse glioma with molecular genetic features of primary glioblastoma.	Brain Pathol		2019 Mar
glioma AND expression AND NF2[Gene]	25043298	Oncogenic role of Merlin/NF2 in glioblastoma.	Oncogene	7	2015 May 14
glioma AND expression AND NF2[Gene]	17210637	Identification and characterization of putative tumor suppressor NGB, a GTP-binding protein that interacts with the neurofibromatosis 2 protein.	Mol Cell Biol	7	2007 Mar
glioma AND expression AND NF2[Gene]	25832504	Sox2 antagonizes the Hippo pathway to maintain stemness in cancer cells.	Nat Commun	66	2015 Apr 2
glioma AND expression AND NF2[Gene]	28764788	Regulation of human glioma cell apoptosis and invasion by miR-152-3p through targeting DNMT1 and regulating NF2 : MiR-152-3p regulate glioma cell apoptosis and invasion.	J Exp Clin Cancer Res	6	2017 Aug 1
glioma AND expression AND NF2[Gene]	23308224	Neurofibromatosis type 2 tumor suppressor protein, NF2, induces proteasome-mediated degradation of JC virus T-antigen in human glioblastoma.	PLoS One	6	2013
glioma AND expression AND NF2[Gene]	27927008	MicroRNA-296-5p Promotes Invasiveness through Downregulation of Nerve Growth Factor Receptor and Caspase-8.	Mol Cells	5	2017 Apr
glioma AND expression AND NF2[Gene]	18632626	Merlin is a potent inhibitor of glioma growth.	Cancer Res	46	2008 Jul 15
glioma AND expression AND NF2[Gene]	25750037	Role of Yes-associated protein 1 in gliomas: pathologic and therapeutic aspects.	Tumour Biol	4	2015 Apr
glioma AND expression AND NF2[Gene]	27229317	NHERF1/EBP50 and NF2 as diagnostic markers for choroid plexus tumors.	Acta Neuropathol Commun	3	2016 May 27
glioma AND expression AND NF2[Gene]	24817309	Nf2/Merlin controls spinal cord neural progenitor function in a Rac1/ErbB2-dependent manner.	PLoS One	3	2014
glioma AND expression AND NF2[Gene]	19333554	'Putting our heads together': insights into genomic conservation between human and canine intracranial tumors.	J Neurooncol	27	2009 Sep
glioma AND expression AND NF2[Gene]	23221384	Moesin is a glioma progression marker that induces proliferation and Wnt/β-catenin pathway activation via interaction with CD44.	Cancer Res	22	2013 Feb 1
glioma AND expression AND NF2[Gene]	20156804	Overexpression of ezrin inactivates NF2 tumor suppressor in glioblastoma.	Neuro Oncol	16	2010 Jun
glioma AND expression AND NF2[Gene]	26923924	Neurofibromatosis 2 (NF2) controls the invasiveness of glioblastoma through YAP-dependent expression of CYR61/CCN1 and miR-296-3p.	Biochim Biophys Acta	13	2016 Apr
glioma AND expression AND NF2[Gene]	26369495	Bevacizumab treatment for symptomatic spinal ependymomas in neurofibromatosis type 2.	Acta Neurol Scand	1	2016 Jun
glioma AND expression AND NF2[Gene]	25909290	Expression alterations define unique molecular characteristics of spinal ependymomas.	Oncotarget	1	2015 Aug 14
glioma AND expression AND NF2[Gene]	22900848	Assessment of antiangiogenic effect of imatinib mesylate on vestibular schwannoma tumors using in vivo corneal angiogenesis assay.	J Neurosurg	1	2012 Oct
glioma AND expression AND NF2[Gene]	20594149	Merlin expression in pediatric anaplastic ependymomas real time PCR study.	Fetal Pediatr Pathol	1	2010
glioma AND expression AND NF2[Gene]	30031196	Is NF2 a Key Player of the Differentially Expressed Gene Between Spinal Cord Ependymoma and Intracranial Ependymoma?	World Neurosurg		2018 Oct
glioma AND expression AND NF2[Gene]	29637450	The association of NF2 (neurofibromin 2) gene polymorphism and the risk of medulloblastomas.	Neurol Sci		2018 Jul
glioma AND expression AND NFE2L2[Gene]	26046590	Parkinsonian toxin-induced oxidative stress inhibits basal autophagy in astrocytes via NQO2/quinone oxidoreductase 2: Implications for neuroprotection.	Autophagy	9	2015
glioma AND expression AND NFE2L2[Gene]	26011642	ATF4-dependent induction of heme oxygenase 1 prevents anoikis and promotes metastasis.	J Clin Invest	60	2015 Jul 1
glioma AND expression AND NFE2L2[Gene]	28782555	Nrf2 suppresses the function of dendritic cells to facilitate the immune escape of glioma cells.	Exp Cell Res	6	2017 Nov 15
glioma AND expression AND NFE2L2[Gene]	27187376	Nrf2 Expressions Correlate with WHO Grades in Gliomas and Meningiomas.	Int J Mol Sci	5	2016 May 13
glioma AND expression AND NFE2L2[Gene]	28685346	Hinokitiol suppresses cancer stemness and oncogenicity in glioma stem cells by Nrf2 regulation.	Cancer Chemother Pharmacol	4	2017 Aug
glioma AND expression AND NFE2L2[Gene]	28427200	IDH1 R132H mutation regulates glioma chemosensitivity through Nrf2 pathway.	Oncotarget	4	2017 Apr 25
glioma AND expression AND NFE2L2[Gene]	27000259	Overexpression of ubiquitin-specific protease 2a (USP2a) and nuclear factor erythroid 2-related factor 2 (Nrf2) in human gliomas.	J Neurol Sci	4	2016 Apr 15
glioma AND expression AND NFE2L2[Gene]	25590811	Reactive oxygen species-mediated therapeutic response and resistance in glioblastoma.	Cell Death Dis	34	2015 Jan 15
glioma AND expression AND NFE2L2[Gene]	25998888	Melatonin Protects Methamphetamine-Induced Neuroinflammation Through NF-κB and Nrf2 Pathways in Glioma Cell Line.	Neurochem Res	3	2015 Jul
glioma AND expression AND NFE2L2[Gene]	25585997	Erastin sensitizes glioblastoma cells to temozolomide by restraining xCT and cystathionine-γ-lyase function.	Oncol Rep	22	2015 Mar
glioma AND expression AND NFE2L2[Gene]	26687633	Insulin-like growth factor 1 specifically up-regulates expression of modifier subunit of glutamate-cysteine ligase and enhances glutathione synthesis in SH-SY5Y cells.	Eur J Pharmacol	2	2016 Jan 15
glioma AND expression AND NFE2L2[Gene]	26124081	MicroRNA-153/Nrf-2/GPx1 pathway regulates radiosensitivity and stemness of glioma stem cells via reactive oxygen species.	Oncotarget	19	2015 Sep 8
glioma AND expression AND NFE2L2[Gene]	27148686	Nrf2-driven TERT regulates pentose phosphate pathway in glioblastoma.	Cell Death Dis	13	2016 May 5
glioma AND expression AND NFE2L2[Gene]	25841304	Impact of nuclear factor erythroid-derived 2-like 2 and p62/sequestosome expression on prognosis of patients with gliomas.	Hum Pathol	13	2015 Jun
glioma AND expression AND NFE2L2[Gene]	25304134	Activation of the NRF2 pathway and its impact on the prognosis of anaplastic glioma patients.	Neuro Oncol	11	2015 Apr
glioma AND expression AND NFE2L2[Gene]	25612817	Cytoprotection against beta-amyloid (Aβ) peptide-mediated oxidative damage and autophagy by Keap1 RNAi in human glioma U87mg cells.	Neurosci Res	1	2015 May
glioma AND expression AND NFE2L2[Gene]	30942197	Low expression of pentraxin 3 and nuclear factor-like 2 implying a relatively longer overall survival time in gliomas.	Chin J Physiol		2019 Jan-Feb
glioma AND expression AND NFE2L2[Gene]	29441509	NRF2, DJ1 and SNRX1 and their prognostic impact in astrocytic gliomas.	Histol Histopathol		2018 Aug
glioma AND expression AND NFE2L2[Gene]	29414774	Hexokinase 2 and nuclear factor erythroid 2-related factor 2 transcriptionally coactivate xanthine oxidoreductase expression in stressed glioma cells.	J Biol Chem		2018 Mar 30
glioma AND expression AND NFE2L2[Gene]	28260004	GSH depletion and consequent AKT inhibition contribute to the Nrf2 knockdown-induced decrease in proliferation in glioblastoma U251 cells.	Oncol Rep		2017 Apr
glioma AND expression AND NFKB2[Gene]	26389665	Non-canonical NF-κB signalling and ETS1/2 cooperatively drive C250T mutant TERT promoter activation.	Nat Cell Biol	50	2015 Oct
glioma AND expression AND NFKB2[Gene]	31240814	Long non-coding RNA LINC00526 represses glioma progression via forming a double negative feedback loop with AXL.	J Cell Mol Med	2	2019 Aug
glioma AND expression AND NFKBIE[Gene]	1	Retinol dehydrogenase-10 promotes development and progression of human glioma via the TWEAK-NF-κB axis.	Oncotarget	1	2017 Dec 1
glioma AND expression AND NKX2-1[Gene]	19525896	Thyroid transcription factor 1 expression in sellar tumors: a histogenetic marker?	J Neuropathol Exp Neurol	8	2009 May
glioma AND expression AND NKX2-1[Gene]	12122016	Regulation of pituitary adenylate cyclase-activating polypeptide gene transcription by TTF-1, a homeodomain-containing transcription factor.	J Biol Chem	7	2002 Sep 27
glioma AND expression AND NKX2-1[Gene]	25786084	Chordoid gliomas of the third ventricle share TTF-1 expression with organum vasculosum of the lamina terminalis.	Am J Surg Pathol	4	2015 Jul
glioma AND expression AND NKX2-1[Gene]	15452173	Expression of thyroid transcription factor 1 in primary brain tumours.	J Clin Pathol	4	2004 Oct
glioma AND expression AND NKX2-1[Gene]	25934249	Suprasellar chordoid neoplasm with expression of thyroid transcription factor 1: evidence that chordoid glioma of the third ventricle and pituicytoma may form part of a spectrum of lineage-related tumors of the basal forebrain.	Hum Pathol	2	2015 Jul
glioma AND expression AND NKX2-1[Gene]	25669749	Consistent nuclear expression of thyroid transcription factor 1 in subependymal giant cell astrocytomas suggests lineage-restricted histogenesis.	Clin Neuropathol	2	2015 May-Jun
glioma AND expression AND NKX2-1[Gene]	12730191	TTF-1, a homeodomain-containing transcription factor, participates in the control of body fluid homeostasis by regulating angiotensinogen gene transcription in the rat subfornical organ.	J Biol Chem	11	2003 Jul 18
glioma AND expression AND NKX2-1[Gene]	26779746	Increased Thyroid Hormone Activation Accompanies the Formation of Thyroid Hormone-Dependent Negative Feedback in Developing Chicken Hypothalamus.	Endocrinology	1	2016 Mar
glioma AND expression AND NKX2-1[Gene]	25248954	Expression of thyroid transcription factor 1 in a chordoid glioma.	J Neurol Sci	1	2014 Nov 15
glioma AND expression AND NOTCH1[Gene]	30072869	NFIX Circular RNA Promotes Glioma Progression by Regulating miR-34a-5p via Notch Signaling Pathway.	Front Mol Neurosci	7	2018
glioma AND expression AND NOTCH1[Gene]	29410396	Notch1 is a prognostic factor that is distinctly activated in the classical and proneural subtype of glioblastoma and that promotes glioma cell survival via the NF-κB(p65) pathway.	Cell Death Dis	7	2018 Feb 6
glioma AND expression AND NOTCH1[Gene]	30559479	Invasion of white matter tracts by glioma stem cells is regulated by a NOTCH1-SOX2 positive-feedback loop.	Nat Neurosci	5	2019 Jan
glioma AND expression AND NOTCH1[Gene]	29427543	FBW7 is associated with prognosis, inhibits malignancies and enhances temozolomide sensitivity in glioblastoma cells.	Cancer Sci	5	2018 Apr
glioma AND expression AND NOTCH1[Gene]	29908894	MicroRNA-499a decelerates glioma cell proliferation while accelerating apoptosis through the suppression of Notch1 and the MAPK signaling pathway.	Brain Res Bull	4	2018 Sep
glioma AND expression AND NOTCH1[Gene]	29575026	AG-1031 induced autophagic cell death and apoptosis in C6 glioma cells associated with Notch-1 signaling pathway.	J Cell Biochem	4	2018 Jul
glioma AND expression AND NOTCH1[Gene]	29857516	Mir-34a-5p Mediates Cross-Talk between M2 Muscarinic Receptors and Notch-1/EGFR Pathways in U87MG Glioblastoma Cells: Implication in Cell Proliferation.	Int J Mol Sci	3	2018 May 31
glioma AND expression AND NOTCH1[Gene]	30297829	Notch1 regulates the initiation of metastasis and self-renewal of Group 3 medulloblastoma.	Nat Commun	1	2018 Oct 8
glioma AND expression AND NOTCH1[Gene]	30170559	Targeting the Notch1 oncogene by miR-139-5p inhibits glioma metastasis and epithelial-mesenchymal transition (EMT).	BMC Neurol	1	2018 Aug 31
glioma AND expression AND NOTCH1[Gene]	31497354	Wild-type &lt;i&gt;TP53&lt;/i&gt; defined gamma-secretase inhibitor sensitivity and synergistic activity with doxorubicin in GSCs.	Am J Cancer Res		2019
glioma AND expression AND NOTCH1[Gene]	31382985	Notch1 signaling pathway promotes invasion, self-renewal and growth of glioma initiating cells via modulating chemokine system CXCL12/CXCR4.	J Exp Clin Cancer Res		2019 Aug 5
glioma AND expression AND NOTCH1[Gene]	31277684	NKAP alters tumor immune microenvironment and promotes glioma growth via Notch1 signaling.	J Exp Clin Cancer Res		2019 Jul 6
glioma AND expression AND NOTCH1[Gene]	31008529	Polycomb complex mediated epigenetic reprogramming alters TGF-β signaling via a novel EZH2/miR-490/TGIF2 axis thereby inducing migration and EMT potential in glioblastomas.	Int J Cancer		2019 Sep 1
glioma AND expression AND NOTCH1[Gene]	30443974	Knockdown of TMPRSS3 inhibits cell proliferation, migration/invasion and induces apoptosis of glioma cells.	J Cell Biochem		2018 Nov 15
glioma AND expression AND NOTCH1[Gene]	30405767	Regulating glioma stem cells by hypoxia through the Notch1 and Oct3/4 signaling pathway.	Oncol Lett		2018 Nov
glioma AND expression AND NOTCH1[Gene]	30396954	&lt;i&gt;GLI1&lt;/i&gt; and &lt;i&gt;CTNNB1&lt;/i&gt; Knockdown Activates NOTCH and mTOR Signalling in NB4 Myeloid Leukaemia Cells.	Anticancer Res		2018 Nov
glioma AND expression AND NOTCH1[Gene]	30226603	Overexpression of Epsin 3 enhances migration and invasion of glioma cells by inducing epithelial‑mesenchymal transition.	Oncol Rep		2018 Nov
glioma AND expression AND NOTCH1[Gene]	30112068	Yes-associated protein 1 promotes the metastasis of U251 glioma cells by upregulating Jagged-1 expression and activating the Notch signal pathway.	Exp Ther Med		2018 Aug
glioma AND expression AND NOTCH1[Gene]	30066161	High-Dose Tanshinone IIA Suppresses Migration and Proliferation While Promoting Apoptosis of Astrocytoma Cells Via Notch-1 Pathway.	Neurochem Res		2018 Sep
glioma AND expression AND NOTCH1[Gene]	29269413	β1,4-Galactosyltransferase V activates Notch1 signaling in glioma stem-like cells and promotes their transdifferentiation into endothelial cells.	J Biol Chem		2018 Feb 9
glioma AND expression AND NOTCH2[Gene]	24305720	Differential patterns of NOTCH1-4 receptor expression are markers of glioma cell differentiation.	Neuro Oncol	9	2014 Jan
glioma AND expression AND NOTCH2[Gene]	23852537	Notch1-induced brain tumor models the sonic hedgehog subgroup of human medulloblastoma.	Cancer Res	7	2013 Sep 1
glioma AND expression AND NOTCH2[Gene]	29258209	Loss of miR-107, miR-181c and miR-29a-3p Promote Activation of Notch2 Signaling in Pediatric High-Grade Gliomas (pHGGs).	Int J Mol Sci	6	2017 Dec 17
glioma AND expression AND NOTCH2[Gene]	25338527	Interference of Notch 2 inhibits the progression of gliomas and induces cell apoptosis by induction of the cell cycle at the G0/G1 phase.	Mol Med Rep	6	2015 Jan
glioma AND expression AND NOTCH2[Gene]	25323114	Short hairpin RNA targeting Notch2 inhibits U87 human glioma cell proliferation by inducing cell cycle arrest and apoptosis in vitro and in vivo.	Mol Med Rep	6	2014 Dec
glioma AND expression AND NOTCH2[Gene]	28389242	Upregulation of miR-181a suppresses the formation of glioblastoma stem cells by targeting the Notch2 oncogene and correlates with good prognosis in patients with glioblastoma multiforme.	Biochem Biophys Res Commun	3	2017 May 13
glioma AND expression AND NOTCH2[Gene]	26472724	The vascular delta-like ligand-4 (DLL4)-Notch4 signaling correlates with angiogenesis in primary glioblastoma: an immunohistochemical study.	Tumour Biol	3	2016 Mar
glioma AND expression AND NOTCH2[Gene]	24179539	Differential effects of miR-34c-3p and miR-34c-5p on the proliferation, apoptosis and invasion of glioma cells.	Oncol Lett	26	2013 Nov
glioma AND expression AND NOTCH2[Gene]	26669487	A Tumor Suppressor Function for Notch Signaling in Forebrain Tumor Subtypes.	Cancer Cell	25	2015 Dec 14
glioma AND expression AND NOTCH2[Gene]	26662803	Aberrant expression of Notch1, HES1, and DTX1 genes in glioblastoma formalin-fixed paraffin-embedded tissues.	Tumour Biol	2	2016 May
glioma AND expression AND NOTCH2[Gene]	26165719	A functional polymorphism in the pre‑miR‑146a gene influences the prognosis of glioblastoma multiforme by interfering with the balance between Notch1 and Notch2.	Mol Med Rep	2	2015 Oct
glioma AND expression AND NOTCH2[Gene]	25575134	Notch signaling activation in pediatric low-grade astrocytoma.	J Neuropathol Exp Neurol	2	2015 Feb
glioma AND expression AND NOTCH2[Gene]	25494473	Tumor suppressor miR-181c attenuates proliferation, invasion, and self-renewal abilities in glioblastoma.	Neuroreport	18	2015 Jan 21
glioma AND expression AND NOTCH2[Gene]	23572380	MicroRNA-107 inhibits U87 glioma stem cells growth and invasion.	Cell Mol Neurobiol	17	2013 Jul
glioma AND expression AND NOTCH2[Gene]	24708907	NOTCH ligands JAG1 and JAG2 as critical pro-survival factors in childhood medulloblastoma.	Acta Neuropathol Commun	14	2014 Apr 7
glioma AND expression AND NOTCH2[Gene]	26983574	Epigenetic silencing of miR-181c by DNA methylation in glioblastoma cell lines.	BMC Cancer	12	2016 Mar 16
glioma AND expression AND NOTCH2[Gene]	24695855	SHH, WNT, and NOTCH pathways in medulloblastoma: when cancer stem cells maintain self-renewal and differentiation properties.	Childs Nerv Syst	12	2014 Jul
glioma AND expression AND NOTCH2[Gene]	23349727	The different role of Notch1 and Notch2 in astrocytic gliomas.	PLoS One	11	2013
glioma AND expression AND NOTCH2[Gene]	30763736	Constitutive activation of Notch2 signalling confers chemoresistance to neural stem cells via transactivation of fibroblast growth factor receptor-1.	Stem Cell Res		2019 Mar
glioma AND expression AND NOTCH2[Gene]	28856557	Endothelial Cells Promote Formation of Medulloblastoma Stem-Like Cells via Notch Pathway Activation.	J Mol Neurosci		2017 Oct
glioma AND expression AND NRG1[Gene]	20515335	Upregulation of SOX2, NOTCH1, and ID1 in supratentorial primitive neuroectodermal tumors: a distinct differentiation pattern from that of medulloblastomas.	J Neurosurg Pediatr	5	2010 Jun
glioma AND expression AND NRG1[Gene]	15015657	Constitutive activation of the neuregulin-1/erbB signaling pathway promotes the proliferation of a human peripheral neuroepithelioma cell line.	J Neurooncol	5	2004 Feb
glioma AND expression AND NRG1[Gene]	17579610	Molecular dissection of NRG1-ERBB4 signaling implicates PTPRZ1 as a potential schizophrenia susceptibility gene.	Mol Psychiatry	30	2008 Feb
glioma AND expression AND NRG1[Gene]	9731505	Expression of the ErbB-neuregulin signaling network during human cerebellar development: implications for the biology of medulloblastoma.	Cancer Res	18	1998 Sep 1
glioma AND expression AND NRG1[Gene]	25560389	MiR-125a-3p regulates glioma apoptosis and invasion by regulating Nrg1.	PLoS One	13	2015
glioma AND expression AND NRG1[Gene]	23399902	Neuregulin 1 enhances cell adhesion molecule l1 expression in human glioma cells and promotes their migration as a function of malignancy.	J Neuropathol Exp Neurol	10	2013 Mar
glioma AND expression AND NRG1[Gene]	22753229	RNAi-mediated inhibition of presenilin 2 inhibits glioma cell growth and invasion and is involved in the regulation of Nrg1/ErbB signaling.	Neuro Oncol	10	2012 Aug
glioma AND expression AND NTRK1[Gene]	30171197	Molecular characterization of cancers with NTRK gene fusions.	Mod Pathol	8	2019 Jan
glioma AND expression AND NTRK1[Gene]	24840578	Methylation and expression patterns of tropomyosin-related kinase genes in different grades of glioma.	Neuromolecular Med	4	2014 Sep
glioma AND expression AND NTRK1[Gene]	23371454	Supra- and infratentorial pediatric ependymomas differ significantly in NeuN, p75 and GFAP expression.	J Neurooncol	4	2013 Apr
glioma AND expression AND NTRK1[Gene]	24647444	NTRK1 fusion in glioblastoma multiforme.	PLoS One	27	2014
glioma AND expression AND NTRK1[Gene]	24705251	The genomic landscape of diffuse intrinsic pontine glioma and pediatric non-brainstem high-grade glioma.	Nat Genet	222	2014 May
glioma AND expression AND NTRK1[Gene]	19301967	Candidate genes for sensitivity and resistance of human glioblastoma multiforme cell lines to erlotinib. Laboratory investigation.	J Neurosurg	12	2009 Aug
glioma AND expression AND NTRK1[Gene]	30303712	A conditionally immortalized Gli1-positive kidney mesenchymal cell line models myofibroblast transition.	Am J Physiol Renal Physiol	1	2019 Jan 1
glioma AND expression AND NTRK1[Gene]	30637364	Analysis of &lt;i&gt;NTRK&lt;/i&gt; Alterations in Pan-Cancer Adult and Pediatric Malignancies: Implications for NTRK-Targeted Therapeutics.	JCO Precis Oncol		2018
glioma AND expression AND PALB2[Gene]	29753700	Spectrum and prevalence of genetic predisposition in medulloblastoma: a retrospective genetic study and prospective validation in a clinical trial cohort.	Lancet Oncol	10	2018 Jun
glioma AND expression AND PALB2[Gene]	21873780	[Transcriptomic regulation and molecular mechanism of polygenic tumor at different stages].	Zhong Nan Da Xue Xue Bao Yi Xue Ban	1	2011 Jul
glioma AND expression AND PALB2[Gene]	30222900	Granular cell astrocytoma: an aggressive IDH-wildtype diffuse glioma with molecular genetic features of primary glioblastoma.	Brain Pathol		2019 Mar
glioma AND expression AND PAX5[Gene]	16086408	p53 Pathway dysfunction in primary childhood ependymomas.	Pediatr Blood Cancer	9	2006 May 1
glioma AND expression AND PAX5[Gene]	8521821	Loss of p53 function through PAX-mediated transcriptional repression.	EMBO J	37	1995 Nov 15
glioma AND expression AND PAX5[Gene]	27572852	Identification of hub genes and regulatory factors of glioblastoma multiforme subgroups by RNA-seq data analysis.	Int J Mol Med	3	2016 Oct
glioma AND expression AND PAX5[Gene]	26145723	Characterization of Inflammatory Changes Associated with Canine Oligodendroglioma.	J Comp Pathol	3	2015 Aug-Oct
glioma AND expression AND PAX5[Gene]	24602166	Increased paired box transcription factor 8 has a survival function in glioma.	BMC Cancer	3	2014 Mar 6
glioma AND expression AND PAX5[Gene]	7777574	Deregulated expression of PAX5 in medulloblastoma.	Proc Natl Acad Sci U S A	21	1995 Jun 6
glioma AND expression AND PAX5[Gene]	27623204	Expression of SOX11, PAX5, TTF-1 and ISL-1 in medulloblastoma.	Pathol Res Pract	2	2016 Nov
glioma AND expression AND PAX5[Gene]	22552444	PAX2 is an antiapoptotic molecule with deregulated expression in medulloblastoma.	Int J Oncol	2	2012 Jul
glioma AND expression AND PAX5[Gene]	9815975	PAX5 expression correlates with increasing malignancy in human astrocytomas.	Clin Cancer Res	10	1995 Feb
glioma AND expression AND PBRM1[Gene]	1	[Chromatin remodeling defects and cancer: the SWI/SNF example].	Bull Cancer	2	2012 Dec
glioma AND expression AND PER1[Gene]	25760074	Circadian genes Per1 and Per2 increase radiosensitivity of glioma in vivo.	Oncotarget	8	2015 Apr 30
glioma AND expression AND PER1[Gene]	12692905	Involvement of calcium/calmodulin-dependent protein kinase II in the induction of mPer1.	J Neurosci Res	7	2003 May 1
glioma AND expression AND PER1[Gene]	20595783	Noradrenaline induces clock gene Per1 mRNA expression in C6 glioma cells through beta(2)-adrenergic receptor coupled with protein kinase A - cAMP response element binding protein (PKA-CREB) and Src-tyrosine kinase - glycogen synthase kinase-3beta (Src-GSK-3beta).	J Pharmacol Sci	6	2010
glioma AND expression AND PER1[Gene]	20481271	Deregulated expression of the Per1 and Per2 in human gliomas.	Can J Neurol Sci	25	2010 May
glioma AND expression AND PER1[Gene]	23752693	Posttranscriptional regulation of PER1 underlies the oncogenic function of IREα.	Cancer Res	22	2013 Aug 1
glioma AND expression AND PER1[Gene]	24135790	Circadian pathway genes in relation to glioma risk and outcome.	Cancer Causes Control	12	2014 Jan
glioma AND expression AND PER1[Gene]	29881948	Proliferative Glioblastoma Cancer Cells Exhibit Persisting Temporal Control of Metabolism and Display Differential Temporal Drug Susceptibility in Chemotherapy.	Mol Neurobiol	1	2019 Feb
glioma AND expression AND PER1[Gene]	31350984	The Circadian Gene Per1 Plays an Important Role in Radiation-Induced Apoptosis and DNA Damage in Glioma.	Asian Pac J Cancer Prev		2019 Jul 1
glioma AND expression AND PHF6[Gene]	24710217	The landscape of somatic mutations in epigenetic regulators across 1,000 paediatric cancer genomes.	Nat Commun	111	2014 Apr 8
glioma AND expression AND PHF6[Gene]	24919120	Identification of temozolomide resistance factors in glioblastoma via integrative miRNA/mRNA regulatory network analysis.	Sci Rep	11	2014 Jun 11
glioma AND expression AND PHOX2B[Gene]	1	MiR-185 targets the DNA methyltransferases 1 and regulates global DNA methylation in human glioma.	Mol Cancer	32	2011 Sep 30
glioma AND expression AND PIK3R1[Gene]	27893811	The Inhibition of microRNA-128 on IGF-1-Activating mTOR Signaling Involves in Temozolomide-Induced Glioma Cell Apoptotic Death.	PLoS One	8	2016
glioma AND expression AND PIK3R1[Gene]	19305146	Inhibitory effects of adenovirus mediated Akt1 and PIK3R1 shRNA on the growth of malignant tumor cells in vitro and in vivo.	Cancer Biol Ther	7	2009 Jun
glioma AND expression AND PIK3R1[Gene]	22064833	Abrogation of PIK3CA or PIK3R1 reduces proliferation, migration, and invasion in glioblastoma multiforme cells.	Oncotarget	53	2011 Nov
glioma AND expression AND PIK3R1[Gene]	27852048	IGFBP2 expression predicts IDH-mutant glioma patient survival.	Oncotarget	5	2017 Jan 3
glioma AND expression AND PIK3R1[Gene]	21663587	Docosahexaenoic acid (DHA) sensitizes brain tumor cells to etoposide-induced apoptosis.	Curr Mol Med	5	2011 Aug
glioma AND expression AND PIK3R1[Gene]	27048880	Spatial and temporal homogeneity of driver mutations in diffuse intrinsic pontine glioma.	Nat Commun	42	2016 Apr 6
glioma AND expression AND PIK3R1[Gene]	24728992	Similarity in targets with REST points to neural and glioblastoma related miRNAs.	Nucleic Acids Res	4	2014 May
glioma AND expression AND PIK3R1[Gene]	21649900	Cell cycle and aging, morphogenesis, and response to stimuli genes are individualized biomarkers of glioblastoma progression and survival.	BMC Med Genomics	31	2011 Jun 7
glioma AND expression AND PIK3R1[Gene]	27633132	Combination of lentivirus-mediated silencing of PPM1D and temozolomide chemotherapy eradicates malignant glioma through cell apoptosis and cell cycle arrest.	Oncol Rep	3	2016 Nov
glioma AND expression AND PIK3R1[Gene]	30333046	TERT promoter wild-type glioblastomas show distinct clinical features and frequent PI3K pathway mutations.	Acta Neuropathol Commun	2	2018 Oct 17
glioma AND expression AND PIK3R1[Gene]	29677490	EGFR-Phosphorylated Platelet Isoform of Phosphofructokinase 1 Promotes PI3K Activation.	Mol Cell	2	2018 Apr 19
glioma AND expression AND PIK3R1[Gene]	29046615	Integrated genomic characterization of cancer genes in glioma.	Cancer Cell Int	2	2017
glioma AND expression AND PIK3R1[Gene]	19639178	Inhibitory effects of adenovirus mediated COX-2, Akt1 and PIK3R1 shRNA on the growth of malignant tumor cells in vitro and in vivo.	Int J Oncol	2	2009 Sep
